city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
kaeo,-35.1017438,173.7751075,Clouds,70.45,84,1013,13.98
micheweni,-4.9828117,39.8331878,Clouds,77.59,87,1011,7.92
broken hill,-31.965,141.4511111,Clouds,89.89,25,1008,21.97
xixiang,22.5838635,113.8790812,Clouds,77.0,83,1019,4.47
thompson,55.743347,-97.863464,Snow,10.58,85,1026,8.05
baracoa,20.3477869,-74.4968647,Clouds,75.15,87,1012,5.93
thunder bay,48.406414,-89.259796,Mist,42.85,100,1014,5.75
whitecourt,54.1424574,-115.6846504,Clear,2.43,78,1019,4.61
rypefjord,70.6412939,23.6718242,Clouds,34.56,80,1003,11.5
el alto,-16.5048228,-68.1624337,Clouds,44.92,76,1035,11.5
never,46.9876601,3.1577203,Clear,47.98,97,1024,1.97
pitimbu,-7.4728063,-34.811233,Clouds,79.16,78,1015,9.51
flinders,-20.862898,144.2526073309786,Clouds,86.14,39,1012,7.9
solnechnyy,50.723808,136.64006,Clear,27.95,35,1018,10.31
mersing,2.4298532,103.835494,Rain,76.87,94,1011,6.91
kokopo,-4.3432175,152.2686741,Rain,86.47,66,1007,9.75
el real de santa maria,8.1086083,-77.7321497,Clouds,72.73,98,1013,1.14
el faiyum,29.3074076,30.8399651,Clear,62.35,66,1016,7.07
riachao das neves,-11.7481049,-44.9109851,Clouds,70.57,87,1014,2.75
grand river south east,-20.2907247,57.7851931,Clouds,70.3,83,1017,2.3
lucapa,-8.4195244,20.7410918,Clouds,65.43,97,1011,2.55
lavrentiya,65.5837793,-171.0058116,Clouds,22.75,75,1004,4.43
sao felix do xingu,-6.6386974,-51.9787582,Clouds,73.24,89,1012,0.92
lakes entrance,-37.8794582,147.9943828,Clouds,86.18,50,1013,8.77
shingu,33.7241003,135.9930029,Clouds,67.6,62,1025,4.5
trat,12.2440564,102.5122822,Clouds,86.0,100,1013,9.01
saskylakh,71.9649533,114.0939433,Clouds,-17.57,98,1007,6.2
benalla,-36.571408500000004,145.99119663118555,Clouds,74.8,61,1016,12.71
stange,60.6244351,11.383120762784838,Clouds,36.07,96,1000,4.23
noyabrsk,63.2002917,75.4475807,Clouds,7.29,96,1019,10.04
ekibastuz,51.7275817,75.3288511,Clouds,26.58,84,1030,13.69
pedasi,7.5298888,-80.0259726,Rain,76.15,86,1012,12.86
puerto lopez,4.0891674,-72.96059024775572,Clouds,74.68,90,1011,1.88
yarovoye,52.919704,78.563568,Clouds,27.63,93,1030,10.47
sibolga,1.736957,98.78461,Clouds,81.09,79,1012,0.45
warrington,53.3899497,-2.5943178,Clouds,53.96,88,1010,10.36
klaksvik,62.2266084,-6.5852705,Clouds,49.24,87,982,22.32
kushnarenkovo,55.107124,55.342201,Clouds,34.99,97,1022,10.87
guerrero negro,27.9709506,-114.036389,Clouds,65.37,75,1018,18.1
hami,42.817404,93.5142008,Clouds,40.6,34,1028,6.62
buta,44.6262285,25.1184394,Clouds,45.88,88,1023,4.59
fairbanks,64.837845,-147.716675,Clouds,15.93,92,1004,0.0
vallenar,-28.5750438,-70.7616398,Clear,62.13,61,1018,2.73
tiksi,71.636604,128.868546,Clouds,-10.93,96,1010,7.99
krasnoselkup,65.704239,82.458855,Clouds,-17.82,100,1022,2.33
bengkulu,-3.7922858,102.2623797,Rain,79.54,79,1012,2.86
vercelli,45.3251557,8.4227666,Clouds,51.37,95,1020,2.42
gelgaudiskis,55.0768792,22.9755517,Clouds,46.11,86,1013,7.25
tukrah,32.532222,20.572222,Clear,63.84,69,1020,5.73
korla,41.7238743,86.173541,Clouds,44.06,57,1026,9.98
pisco,-13.7099813,-76.2029793,Clear,62.49,88,1017,10.36
murgab,38.1709568,73.9668836,Clear,8.94,41,1037,4.29
adrar,27.8733807,-0.2874884,Clear,61.02,21,1016,11.5
price,39.600808150000006,-110.80634785005043,Clear,31.26,80,1012,8.05
palabuhanratu,-6.9882409,106.5503728,Clouds,81.25,78,1012,2.24
dauphin,43.8981823,5.7830186,Clouds,49.21,87,1019,4.88
barawe,1.4923441,44.1066308,Rain,74.57,92,1011,5.48
puerto escondido,15.8693331,-97.0726428,Clear,77.5,85,1013,3.11
ixtapa,16.8032586,-92.9053697,Clouds,60.44,95,1017,4.09
