city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
sao filipe,14.8952963,-24.4969361,Clouds,78.4,68,1016,8.57
sapouy,11.5532714,-1.768851,Clouds,76.42,23,1013,4.99
mahebourg,-20.4111041,57.7060616,Clouds,73.35,74,1017,9.08
gizo,29.9870753,31.2118063,Clouds,68.76,62,1016,8.9
angoche,-16.2292451,39.9081111,Clear,76.5,78,1011,14.99
port hedland,-20.3111814,118.5801181,Clear,66.24,88,1009,9.22
mana,43.0818375,0.9504994,Clouds,55.08,70,1014,3.8
muros,40.678061,8.617315,Clouds,50.45,79,1020,4.47
new norfolk,-42.7801998,147.0615332,Clouds,63.16,56,1022,1.01
upernavik,72.7847392,-56.1469625,Clouds,4.23,63,1012,7.0
nantucket,41.315731400000004,-70.00901408779944,Clear,51.01,60,1031,11.99
keshod,21.30113,70.2524024,Clear,72.12,62,1013,7.18
tlaxiaco,17.269444,-97.679167,Clouds,69.13,41,1015,6.29
samarai,-10.6106054,150.6619362,Clouds,81.1,79,1011,9.24
liwale,-9.8021605,37.9157087,Clear,66.47,95,1013,5.26
kysyl-syr,63.898602,122.771309,Clouds,-18.04,98,1013,3.27
mount gambier,-37.8246698,140.7820067624113,Clouds,70.41,60,1015,9.13
araouane,18.9041878,-3.5264658,Clouds,77.54,10,1015,5.46
plaster rock,46.9088818,-67.3954925,Clouds,37.83,55,1028,16.69
linhares,-19.3816944,-40.0612213,Clouds,69.04,76,1017,4.29
itaituba,-4.2625218,-55.9878139,Clouds,79.52,73,1010,2.8
maniitsoq,65.4175454,-52.8967885,Clear,15.93,52,1004,7.14
cruzeiro do sul,-29.5139742,-51.9917068,Clouds,61.57,81,1018,6.71
killybegs,54.63165225,-8.450616829547787,Clouds,50.85,83,987,23.06
nelson bay,-32.7218138,152.1440889,Clear,70.48,66,1021,1.99
soe,58.211850850000005,25.9364387637133,Clouds,46.2,97,1009,6.87
imbituba,-28.241827,-48.6643444,Clouds,61.74,88,1017,10.42
lahij,13.0577821,44.8836135,Clear,76.03,80,1013,7.9
dingle,11.0000758,122.6717839,Clouds,75.13,94,1010,6.64
esterhazy,50.6536237,-102.0763357,Clouds,26.02,93,1022,6.35
katsuura,35.1521846,140.3207449,Clouds,57.61,65,1025,9.35
srednekolymsk,67.455497,153.7071456,Clouds,-17.03,100,1008,7.54
marathon,38.1532724,23.9620892,Clear,59.16,75,1022,1.01
victoria,48.4283182,-123.3649533,Clouds,40.48,67,1015,24.0
sug-aksy,51.402248,91.278786,Clouds,28.69,93,1021,1.01
camara de lobos,32.6483323,-16.9763096,Clouds,69.06,82,1020,4.0
ambatondrazaka,-17.8237084,48.4267188,Clear,60.24,86,1018,2.59
tocopilla,-22.0887189,-70.1960657,Clouds,66.9,56,1015,3.18
sidi ali,35.5621413,1.227165,Clouds,68.97,33,1019,1.41
key west,24.5625566,-81.7724368,Clouds,83.34,64,1013,15.99
safaga,26.7633325,33.9383817,Clouds,72.79,55,1014,13.22
bambous virieux,-20.347199500000002,57.76474767388835,Clouds,73.53,73,1017,9.37
kieta,42.9997818,141.443687,Clouds,42.15,50,1021,4.12
lanzhou,36.0620781,103.8318566,Clouds,48.25,69,1015,1.39
ojinaga,29.5494024,-104.416365,Clear,85.03,45,1017,12.66
novopokrovka,49.8377053,36.5549759,Clouds,39.88,65,1024,4.18
saskylakh,71.9649533,114.0939433,Clouds,-4.58,99,1003,2.15
egvekinot,66.3227382,-179.120131,Clouds,24.08,89,993,6.87
mutare,-18.974656,32.670473,Rain,64.89,94,1014,1.83
aklavik,68.2182579,-135.013585,Clouds,17.46,87,1008,4.14
kozhva,65.1054024,57.0504324,Clouds,31.24,99,1008,2.95
gat,45.7023377,18.3246957,Clouds,47.35,85,1020,6.29
airai,-8.92655,125.40922,Clouds,62.71,76,1013,0.83
omboue,-1.5726966,9.2653029,Rain,76.42,92,1013,7.61
tura,47.3900474,0.6889268,Clear,54.43,86,1008,9.22
tidore,0.6786796,127.4483156,Clouds,82.29,71,1010,1.07
nola,40.9210826,14.5327402,Clouds,53.74,93,1022,0.56
chengmai,19.7381177,110.0044422,Clouds,72.55,96,1015,7.87
prince rupert,54.3126572,-130.32549,Clouds,26.92,36,1023,4.27
aktash,50.3127248,87.6028375,Snow,29.39,95,1019,3.31
manokwari,-0.8614456,134.0767324,Clouds,80.33,78,1010,3.62
laem sing,12.4829002,102.0669053,Clouds,76.03,65,1010,7.74
denpasar,-8.6524973,115.2191175,Clouds,77.76,88,1010,2.3
san andres,12.5203006,122.0116874,Clouds,80.78,84,1011,11.32
sao joao da barra,-21.6348588,-41.0487079,Rain,73.51,79,1016,10.74
monroe,32.5102427,-92.1032411,Clear,80.73,65,1024,8.05
igrim,63.191513,64.424301,Clouds,18.88,98,1009,3.58
bachaquero,10.2600685,-66.6896296,Clouds,75.69,94,1010,2.39
rock springs,41.5860557,-109.2194544,Clear,54.5,38,1019,33.38
khonuu,66.455612,143.223007,Clouds,-11.76,95,1012,3.83
cumaribo,4.4471495,-69.7975845,Clouds,81.66,76,1008,3.47
methoni,36.8225626,21.707166,Clear,55.4,76,1020,4.16
forssa,60.8155736,23.629833,Rain,35.94,89,1007,2.06
leningradskiy,54.129108,79.236702,Clouds,25.65,93,1024,4.38
shiraz,29.6060218,52.5378041,Clouds,54.84,58,1019,4.61
port blair,11.6645348,92.7390448,Clouds,78.69,84,1009,12.1
palekh,56.802418,41.853912,Clouds,38.25,96,1014,8.57
sioux lookout,50.11345465,-92.19624322619077,Clouds,36.36,70,1026,13.31
crasna,47.1629229,22.8677799,Clear,46.6,88,1023,3.47
guerrero negro,27.9709506,-114.036389,Clouds,71.89,54,1015,13.15
cap-aux-meules,47.377501,-61.8661738,Clouds,43.07,71,1014,41.83
ayios kirikos,37.6123552,26.2941695,Clear,63.9,52,1017,21.72
tiarei,-17.558316750000003,-149.37107895658022,Clouds,77.22,77,1015,3.18
michigan city,41.7075394,-86.8950297,Clear,52.63,57,1034,4.61
astana,51.1282205,71.4306682,Clouds,28.51,93,1024,11.18
lompoc,34.6391501,-120.4579409,Clouds,54.09,86,1007,5.75
luancheng,37.8845246,114.6519713,Rain,50.81,71,1021,2.42
hami,42.817404,93.5142008,Clouds,43.68,32,1013,3.09
kirakira,-10.4568963,161.9201736,Clouds,84.06,73,1010,5.19
ostrovnoy,68.0544447,39.5129384,Clouds,33.82,83,1007,3.78
port hardy,50.7244402,-127.4976081,Clear,33.15,45,1019,8.97
sitka,57.0524973,-135.337612,Clouds,39.2,38,1023,3.44
saint anthony,45.0283001,-93.2187368,Clouds,46.98,70,1023,20.71
poum,-20.2316547,164.029894,Clouds,77.09,80,1010,22.86
gomba,47.3703744,19.5311516,Clouds,47.19,90,1022,4.81
pansemal,21.6590495,74.6964526,Clouds,74.57,42,1013,3.0
linxia,35.4787351,103.038525,Clouds,41.61,70,1015,2.3
college,45.32664695,-75.83855656986515,Clear,40.66,49,1038,10.0
kahului,20.8894101,-156.4727118,Clouds,85.87,60,1019,20.71
brae,60.3963461,-1.3536585,Rain,51.4,87,983,16.17
severo-kurilsk,50.6683048,156.1154399,Clouds,35.08,62,1015,12.08
ambodifototra,-16.9996379,49.8525772,Rain,74.64,80,1016,2.1
wilmington,39.7459468,-75.546589,Clear,55.38,41,1034,10.36
warwick,52.2814519,-1.5815742,Clouds,51.13,90,997,17.94
challapata,-18.9021565,-66.7750462,Clear,61.2,9,1006,4.21
karakose,39.719125,43.0504894,Clouds,38.88,69,1018,2.17
tabou,4.4194457,-7.3603666,Rain,78.28,84,1014,8.3
lewistown,47.0639275,-109.428213,Clouds,6.89,77,1027,4.61
dudinka,69.406067,86.175072,Clouds,-21.59,100,1009,4.16
tapaua,-5.6232283,-63.1879157,Rain,83.8,63,1008,0.49
maragogi,-9.0118278,-35.222512,Clouds,77.09,82,1015,7.54
kavieng,-2.573474,150.795224,Clouds,84.38,70,1011,6.06
avera,43.3896226,-0.1768284,Clouds,58.5,83,1013,3.44
dalvik,65.9710942,-18.5304388,Clouds,39.25,99,989,9.95
rusape,-18.533515,32.124601,Rain,63.36,88,1015,1.36
tilichiki,60.429134,166.057053,Clouds,13.44,93,1003,4.16
vargem grande,-3.5443611,-43.9149128,Clouds,74.71,92,1012,2.57
orlik,53.730977949999996,20.04194387589351,Clouds,48.92,85,1014,8.34
kargasok,59.0598053,80.8708719,Clouds,23.5,91,1018,8.19
namibe,-15.195064,12.1458085,Clear,66.61,81,1014,9.75
chapais,49.7829998,-74.8572812,Clouds,28.15,73,1041,10.96
nabire,-3.360285,135.5023653,Clouds,77.29,88,1010,3.27
barentsburg,78.065362,14.2172367,Clouds,24.4,92,1014,4.52
aitape,-3.1510222,142.3594389,Clouds,81.03,76,1011,2.53
yilan,46.2521461,129.73909884918004,Clouds,34.47,69,1014,10.69
kazachinskoye,57.694408,93.281029,Clouds,23.11,95,1022,2.95
ridgecrest,35.6225064,-117.6699414,Clouds,57.31,60,1004,31.07
wucheng,29.0896589,119.566654,Clouds,58.89,88,1020,3.44
salisbury,51.0690613,-1.7954134,Clouds,52.74,88,998,13.8
eureka,40.7906871,-124.1673746,Clouds,48.33,94,1001,4.0
niort,46.3241132,-0.4649403,Clouds,56.41,91,1010,11.74
jacareacanga,-6.2196518,-57.758625,Clouds,80.49,69,1009,2.28
lagoa,37.13258125,-8.45505094811731,Clouds,64.67,91,1018,7.65
bathsheba,13.2129361,-59.5227245,Clouds,82.8,78,1010,19.57
dikson,73.5083894,80.5123816,Clouds,4.68,96,1008,5.93
